"filename", "language", "TypeScript", "JSON", "HTML", "PostCSS", "SCSS", "JSON with Comments", "JavaScript", "Markdown", "comment", "blank", "total"
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-body/myprofile-body.component.html", "HTML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-body/myprofile-body.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-body/myprofile-body.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-content/myprofile-content.component.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 26
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-content/myprofile-content.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-content/myprofile-content.component.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-languages.module.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 58
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-languages/myprofile-tab-languages.component.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-languages/myprofile-tab-languages.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-languages/myprofile-tab-languages.component.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-learning-languages-add-dialog/myprofile-tab-learning-languages-add-dialog.component.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-learning-languages-add-dialog/myprofile-tab-learning-languages-add-dialog.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-learning-languages-add-dialog/myprofile-tab-learning-languages-add-dialog.component.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 12, 99
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-learning-languages/myprofile-tab-learning-languages.component.html", "HTML", 0, 0, 44, 0, 0, 0, 0, 0, 6, 6, 56
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-learning-languages/myprofile-tab-learning-languages.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-learning-languages/myprofile-tab-learning-languages.component.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-native-languages-add-dialog/myprofile-tab-native-languages-add-dialog.component.html", "HTML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-native-languages-add-dialog/myprofile-tab-native-languages-add-dialog.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-native-languages-add-dialog/myprofile-tab-native-languages-add-dialog.component.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 13, 95
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-native-languages/myprofile-tab-native-languages.component.html", "HTML", 0, 0, 40, 0, 0, 0, 0, 0, 5, 5, 50
"/home/nikola/Podaci/projekat-rwa/LinguaChat/linguachat-frontend/src/modules/profile/myprofile/myprofile-body/myprofile-tab-languages/myprofile-tab-native-languages/myprofile-tab-native-languages.component.spec.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
